
"Browser Version","Market Share % W13 2009"
"IE 7.0",38.6
"Firefox 3.0",25.7
"IE 6.0",21.81
"Firefox 2.0",2.76
"IE 8.0",2.43
"Opera 9.6",1.95
"Chrome 1.0",1.59
"Safari 3.2",1.5
"Safari 3.1",0.57
"Safari 4.0",0.39
"Opera 9.2",0.36
"Opera 9.5",0.36
"Firefox 3.1",0.35
"Firefox 1.5",0.25
"AOL 7.0",0.19
"Safari 3.0",0.16
"Chrome 2.0",0.15
"Opera 10.0",0.11
"Sony PS3 0",0.09
"Mozilla 1.9",0.08
"Firefox 1.0",0.08
"Windows Media Player 0",0.05
"AOL 6.0",0.05
"Safari 2.0",0.04
"Mozilla 1.8",0.03
"Safari 1.3",0.03
"Mozilla 1.7",0.03
"SeaMonkey 1.1",0.03
"Opera 9.1",0.03
"IE 5.5",0.03
"Opera 9.0",0.02
"Opera 8.5",0.02
"Chrome 0.2",0.01
"Wii Web Browser 0",0.01
"AppleWebKit 0",0.01
"Netscape 7.2",0.01
"Chrome 0.3",0.01
"K-Meleon 1.0",0.01
"Iceweasel 2.0",0.01
"Chrome 0.4",0.01
"Konqueror 3.5",0.01
"Flock 1.0",0.01
"Firefox 0",0
"Flock 2.0",0
"IE 5.01",0
"Netscape 8.1",0
"Opera 8.0",0
"Netscape 7.1",0
"Netscape 8.0",0
"Opera 7.5",0
"Webaroo 0",0
"Netscape 7.0",0
"Windows Media Player 11.0",0
"Safari 1.0",0
"IE 5.0",0
"WebTV/MSNTV 2.6",0
"Safari 1.2",0
"Mozilla 1.0",0
"Mozilla 1.6",0
"SeaMonkey 2.0",0
"Firefox 1.4",0
"Konqueror 4.2",0
"K-Meleon 1.5",0
"SeaMonkey 1.0",0
"Opera 7.2",0
"Konqueror 4.1",0
"Windows Media Player 9.0",0
"Iron 0.2",0
"Netscape 4.7",0
"Netscape 4.0",0
"Anonymouse 0",0
"SaferSurf 0",0
"Squid 0",0
"Safari 1.1",0
"FrontPage 0",0
"Mozilla 1.4",0
"Mozilla 1.2",0
"Netscape 6.2",0
"Safari 0",0
"Firebird 0",0
"Konqueror 3.2",0
"IE 4.01",0
"Windows-Media-Player 10.0",0
"Mozilla 1.3",0
"AOL 5.5",0
"Iron 0.3",0
"Mozilla 1.5",0
"Opera 7.0",0
"Netscape 4.03",0
"Opera 7.1",0
"IE 5.2",0
"Konqueror 3.3",0
"Galeon 1.3",0
"Netscape 4.79",0
"Konqueror 3.4",0
"SmallProxy 0",0
"Dillo 0.8",0
"Netscape 4.8",0
"Opera 7.6",0
"Iron 0.4",0
"IE 5.1",0
"Opera 8.1",0
"Windows Media Player 8.0",0
"Amiga 0",0
"Konqueror 3.0",0
"iCab 3.0",0
"Chrome 0.5",0
"Sleipnir 0",0
"Netscape 6.1",0
"Netscape 4.5",0
"Lynx 2.8",0
"Windows Media Player 7.0",0
"WebTV/MSNTV 1.0",0
"Dillo 2.0",0
"Anonymizied 0",0
"Fake IE 0",0
"Galeon 1.2",0
"Proxomitron 0",0
"Netscape 4.51",0
"Shiira 1.2",0
"Links 2.1",0
"Arora 0.4",0
"Konqueror 3.1",0
"ibisBrowser 0",0
"Microsoft Office Existence Discovery 0",0
"Links 2.2",0
"Avant Browser 0",0
"Anonymous 0",0
"w3m 0.5",0
"iCab 2.9",0
"Netscape 4.6",0
"IE 4.0",0
"Galeon 1.0",0
"Netscape 4.61",0
"EVE-minibrowser 0",0
"Windows Media Player 4.0",0
"Lynx 0",0
"ogeb browser 1.1",0
"Firefox Mobile 1.0",0
"Netscape 6.0",0
"Microsoft URL Control 0",0
"VLC 0",0
"iTunes 0",0
"Camino 0.8",0
"Camino 0.7",0
"Shiira 1.1",0
"Konqueror 4.0",0
"Chimera 0",0
"Privoxy 0",0
"BrowseX 0",0
"Shiira 1.0",0
"CE-Preload 0",0
"iCab 4.0",0
"IE 4.5",0
"NetPositive 2.2",0
"IBrowse 2.2",0
"Shiira 0.9",0
"Microsoft-WebDAV 0",0
"Emacs/W3 0",0
"Windows Media Player 10.0",0
"Links 0",0
"Microsoft Visio 0",0
"Dillo 0.7",0
"RMA 0",0
"HP Secure Web Browser 1.8",0
"Microsoft Excel 12.0",0
"Apple-PubSub 0",0
"Zune 3.0",0
"MFHttpScan 0",0
"HP Secure Web Browser 1.7",0
"w3m 0",0
"Enigma Browser 0",0
"Ace Explorer 0",0
"SlimBrowser 0",0
"MS IPPPD 0",0
"Wipeout Pure 0",0
"w3m 0.4",0
"Lynx 2.6",0
"Dillo 0.6",0
"Links 0.9",0
"Netscape 4.71",0
"ELinks 0.9",0
"Phoenix 0.5",0
"GreenBrowser 0",0
"BITS 0",0
