"Browser Version","Market Share Perc. (W27 2012)"
"UC Browser 8.0",0
"Epiphany 3.0",0
"QQ Browser 2.1",0
"Mozilla 1.4",0
"Lunascape 4.0",0
"Flock 1.1",0
"QQ Browser 6.9",0
"Netscape 4.0",0
"QQ Browser 5.0",0
"ELinks 0.11",0
"Midori 0.1",0
"Mozilla 1.2",0
"Amiga 0",0
"Comodo Dragon 17.0",0
"Midori 0.01",0
"Konqueror 4.2",0
"Webaroo 1.3",0
"Opera 7.2",0
"Windows Media Player 9.0",0
"Konqueror 3.4",0
"QQ Browser 1.3",0
"Epiphany 2.14",0
"Chrome 0.5",0
"QQ Browser 6.8",0
"UC Browser 8.2",0
"Lunascape 5.0",0
"IE 5.2",0
"Minefield 3.1",0
"QQ Browser 6.2",0
"Mozilla 1.5",0
"Links 2.1",0
"QQ Browser 1.0",0
"Iron 2.0",0
"Chromium 21.0",0
"Chrome 3.1",0
"Flock 0.7",0
"Comodo Dragon 12.0",0
"Flock 3.0",0
"UC Browser 1.0",0
"Konqueror 3.3",0
"Opera 7.6",0
"JoeDog 0",0
"Proxomitron 0",0
"Minefield 3.6",0
"Chimera 0",0
"Netscape 6.1",0
"WebTV/MSNTV 1.0",0
"Lunascape 1.1",0
"Minefield 3.2",0
"Iron 1.0",0
"QQ Browser 1.2",0
"Epiphany 2.20",0
"Camino 0.8",0
"QQ Browser 6.7",0
"Chromium 20.0",0
"Lunascape 6.2",0
"Chrome 99.0",0
"Midori 0",0
"Iron 0.2",0
"Chrome 8.1",0
"Konqueror 4.1",0
"Mozilla 1.3",0
"SeaMonkey 2.12",0
"WebPositive 0",0
"Netscape 4.61",0
"AOL 5.5",0
"ibisBrowser 0",0
"Chrome 2.1",0
"iCab 3.0",0
"Flock 0.9",0
"QQ Browser 2.9",0
"Lunascape 0",0
"Epiphany 1.4",0
"Lunascape 4.8",0
"Netscape 4.51",0
"Lunascape 1.4",0
"Dillo 0.8",0
"w3m 0.5",0
"Lunascape 4.7",0
"Opera 10.3",0
"QQ Browser 1.1",0
"Chrome 42.0",0
"iCab 2.9",0
"Netscape 4.6",0
"Pale Moon 3.5",0
"Chrome 99.9",0
"Windows-Media-Player 10.0",0
"Shiira 1.2",0
"SeaMonkey 1.5",0
"Epiphany 2.18",0
"Lunascape 4.9",0
"NetPositive 2.2",0
"Chrome 1.3",0
"Netscape 3.0",0
"BrowseX 0",0
"QQ Browser 6.0",0
"Opera 10.10",0
"Lunascape 2.1",0
"IE 4.0",0
"Epiphany 1.6",0
"iBrowser 2.8",0
"Netbox 0",0
"Netscape 6.0",0
"Camino 0.7",0
"fantomas fantomBrowser 0",0
"QQ Browser 6.5",0
"Comodo Dragon 1.0",0
"UC Browser 8.5",0
"QQ Browser 4.0",0
"Epiphany 1.2",0
"Iron 0.3",0
"Chromium 19.0",0
"ELinks 0.10",0
"Opera 6.0",0
"UC Browser 7.7",0
"Chrome 59.0",0
"SonyEricsson 0",0
"Apple-PubSub 0",0
"Camino 1.1",0
"Iron 0",0
"ELinks 0.12",0
"Firefox 19.0",0
"Opera 8.1",0
"Flock 0.4",0
"Lunascape 3.0",0
"Flock 0.5",0
"UC Browser 6.0",0
"Camino 3.0",0
"Unknown 0",0
"Epiphany 1.8",0
"Comodo Dragon 18.2",0
"Sundance 0.9",0
"iBrowser 2.7",0
"IEMobile 7.0",0
"Dillo 2.0",0
"Links 0.9",0
"NetFront 3.3",0
"Epiphany 2.16",0
"UC Browser 8.4",0
"Pale Moon 93.6",0
"Lunascape 3.1",0
"Camino 2.2",0
"Webaroo 2.0",0
"Lunascape 4.6",0
"QQ Browser 6.6",0
"Lunascape 3.5",0
"Epiphany 2.28",0
"Lynx 0",0
"QQ Browser 6.3",0
"ELinks 0.9",0
"Lunascape 1.3",0
"UC Browser 7.2",0
"Opera 12.1",0
"IE 4.5",0
"Epiphany 1.0",0
"Sundance 0",0
"Links 1.0",0
"Camino 0.9",0
"Netscape 4.71",0
"Epiphany 3.4",0
"SeaMonkey 0",0
"Microsoft Office Existence Discovery 0",0
"Lunascape 4.3",0
"Camino 4.0",0
"Iron 0.4",0
"Lunascape 1.2",0
"Midori 1.25",0
"Epiphany 0",0
"Fake IE 0",0
"Lunascape 4.1",0
"Iron 8.06",0
"Epiphany 0.9",0
"Firefox 20.0",0
"Lunascape 3.6",0
"Epiphany 2.29",0
"Avant Browser 0",0
"Mozilla 1.1",0
"Safari 6.1",0
"Lunascape 1.05",0
"Lunascape 1.0",0
"iCab 2.8",0
"UC Browser 7.6",0
"Twitturly 0",0
"Lunascape 2.0",0
"Lunascape 4.2",0
"Comodo Dragon 17.2",0
"w3m 0.2",0
"Epiphany 1.7",0
"IBrowse 2.2",0
"Chrome 25.0",0
"Emacs/W3 0",0
"Sundance 1.2",0
"Midori 0.0",0
"RockMelt 0.44",0
"UC Browser 8.1",0
"Enigma Browser 0",0
"Dillo 0.6",0
"Shiira 1.1",0
"Lunascape 1.03",0
"Chrome 28.0",0
"SaferSurf 0",0
"iTunes 0",0
"Camino 1.2",0
"w3m 0.1",0
"Opera 5.1",0
"UC Browser 7.4",0
"Flock 4.0",0
"Pale Moon 0",0
"iCab 4.0",0
"Midori 1.19",0
"Dillo 0.7",0
"QQ Browser 5.2",0
"Opera 5.0",0
"Flock 0.8",0
"w3m 0.4",0
"Firefox 0.9",0
"Skyfire 0",0
"Firefox 0.0",0
"iCab 2.7",0
"UC Browser 7.0",0
"Maxthon 3.2",0
"SmallProxy 0",0
"Camino 2.4",0
"iBrowser 3.1",0
"SEMC Browser 0",0
"Windows Media Player 7.0",0
"iBrowser 2.5",0
"Microsoft Excel 12.0",0
"iBrowser 2.6",0
"Chrome 88.8",0
"Epiphany 3.3",0
"Maxthon 2.5",0
"Firefox 30.0",0
"MS IPPPD 0",0
"Windows Media Player 8.0",0
"Opera 12.6",0
"Windows Media Player 10.0",0
"Links 0",0
"Firefox 17.0",0
"HP Secure Web Browser 1.8",0
"Chrome 18.1",0
"Firefox 33.0",0
"Microsoft Visio 0",0
"Anonymizied 0",0
"Lunascape 3.2",0
"Midori 0.45",0
"Camino 0",0
"Chromium 22.0",0
"iBrowser 0",0
"Lunascape 1.04",0
"Opera 9.3",0
"Firefox 18.0",0
"Chrome 8.2",0
"Maxthon 8.0",0
"Chrome 9.2",0
"Pocket PC 0",0
"Chrome 6.1",0
"Amaya 9.5",0
"BITS 0",0
"Silk 1.02",0
"Chrome 19.7",0
"Sundance 1.0",0
"w3m 0",0
"VLC 0",0
"QQ Browser 6.15",0
"Epiphany 0.8",0
"WinAmp 0",0
"Zune 2.5",0
"Chrome 19.9",0
"iBrowser 2.4",0
"w3m 0.3",0
"Epiphany 3.1",0
"GreenBrowser 0",0
"Firefox 62.0",0
"Chrome 1.5",0
"Microsoft 0",0
"Privoxy 0",0
"iCab 0",0
"Comodo Dragon 0",0
"Maxthon 3.1",0
"Lunascape 0.99",0
"RMA 0",0
"Minefield 4.2",0
"Chrome 0.1",0
"Windows Media Player 4.0",0
"UC Browser 7.5",0
"Chrome 13.1",0
"Firefox 21.0",0
"Opera iPad",0
