
"Browser Version","Market Share % W14 2011"
"IE 8.0",29.96
"Firefox 3.6",19.56
"Chrome 10.0",15.93
"IE 7.0",9.44
"Firefox 4.0",6.76
"IE 6.0",4.24
"Safari 5.0",3.81
"Firefox 3.5",2.03
"Opera 11.0",1.53
"IE 9.0",1.48
"Firefox 3.0",0.98
"Safari iPad",0.51
"Safari 4.0",0.4
"Chrome 9.0",0.38
"Chrome 11.0",0.36
"Chrome 8.0",0.27
"Safari 4.1",0.21
"Chrome 6.0",0.2
"Firefox 2.0",0.19
"Chrome 12.0",0.18
"Chrome 5.0",0.16
"Opera 10.6",0.13
"Chrome 7.0",0.13
"Sony PS3 0",0.13
"Chrome 4.0",0.12
"Maxthon 2.0",0.08
"Opera 9.6",0.06
"Chrome 3.0",0.06
"Maxthon 1.0",0.05
"Mozilla 1.9",0.05
"Opera 10.5",0.05
"Opera 10.1",0.05
"AOL 7.0",0.04
"Maxthon 3.0",0.04
"Opera 10.0",0.03
"Chrome 2.0",0.03
"Safari 3.1",0.03
"Safari 3.0",0.02
"Opera 11.1",0.02
"SeaMonkey 2.0",0.02
"Android 0",0.02
"Firefox 1.5",0.02
"Safari 3.2",0.02
"Opera 9.5",0.02
"Opera 0",0.02
"Windows Media Player 0",0.01
"Flock 2.0",0.01
"Opera 9.2",0.01
"AppleWebKit 0",0.01
"Camino 2.0",0.01
"Chrome 1.0",0.01
"Firefox 3.1",0.01
"Firefox 1.0",0.01
"Safari 1.3",0.01
"Chrome 0.2",0
"Mozilla 1.8",0
"AOL 6.0",0
"Konqueror 3.5",0
"IE 5.5",0
"Mozilla 1.7",0
"Safari 2.0",0
"Chrome 0.3",0
"Lunascape 6.4",0
"360 0",0
"SeaMonkey 1.1",0
"Opera 10.7",0
"K-Meleon 1.0",0
"Sleipnir 2.0",0
"Chrome 0.4",0
"Minefield 4.0",0
"Thunderbird 3.0",0
"Iceweasel 2.0",0
"Opera 9.1",0
"Netscape 7.2",0
"Safari 5.1",0
"Lunascape 6.3",0
"Camino 1.6",0
"Opera 11.5",0
"Opera 9.0",0
"K-Meleon 1.5",0
"Opera 10.2",0
"IE 5.01",0
"Lunascape 6.2",0
"Flock 1.0",0
"WebTV/MSNTV 2.6",0
"Anonymouse 0",0
"Minefield 3.7",0
"Opera 8.5",0
"Firefox 0",0
"Safari 1.0",0
"Netscape 8.0",0
"Minefield 3.0",0
"Camino 1.5",0
"IE 5.0",0
"Netscape 8.1",0
"Lunascape 6.1",0
"Opera 8.0",0
"Safari 1.2",0
"Camino 1.0",0
"Netscape 7.1",0
"Mozilla 1.0",0
"Safari 0",0
"Webaroo 0",0
"Windows Media Player 11.0",0
"Mozilla 1.6",0
"Camino 2.1",0
"Netscape 7.0",0
"FrontPage 0",0
"Konqueror 4.2",0
"Opera 7.5",0
"Lunascape 4.0",0
"Galeon 2.0",0
"Netscape 4.7",0
"Konqueror 3.2",0
"Lunascape 6.5",0
"Flock 3.0",0
"Netscape 4.03",0
"MS OPD 0",0
"Safari 1.1",0
"Lunascape 5.1",0
"IE 4.01",0
"SeaMonkey 1.0",0
"Squid 0",0
"Windows Media Player 9.0",0
"Firefox 1.4",0
"Zune 3.0",0
"Lunascape 6.0",0
"Mozilla 1.2",0
"Camino 0.8",0
"IE 5.1",0
